"Palabra";"BPP";"MPP";"BPSOE";"MPSOE";"BC´s";"MC´s";"BPodemos";"MPodemos";"BVOX";"MVOX"
"facha";0;1;0;0;0;1;0;0;0;1
"corrupcion";0;1;0;0;0;0;0;0;0;0
"tesis";0;0;0;1;0;0;0;0;0;0
"plagio";0;0;0;1;0;0;0;0;0;0
"chalet";0;0;0;0;0;0;0;1;0;0
"racista";0;0;0;0;0;0;0;0;0;1
"separatistas";0;0;0;1;0;0;0;0;0;0
"liberal";0;0;0;0;1;0;0;0;0;0
"pacto";0;0;0;1;0;0;0;0;0;0
"plan lucha explotacion laboral";0;0;1;0;0;0;0;0;0;0
"independentistas";0;0;0;1;0;0;0;0;0;0
"mentir";0;1;0;1;0;0;0;0;0;0
"contrato fijo";0;0;0;0;1;0;0;0;0;0
"empleo precario";0;1;0;1;0;0;0;0;0;0
"autonomos";1;0;0;1;1;0;0;0;0;0
"empleo temporal";0;1;0;1;0;0;0;0;0;0
"subir salario minimo";0;0;1;0;0;0;1;0;0;0
"brecha salarial";0;0;1;0;0;0;1;0;0;0
"deuda publica";0;1;0;1;0;0;0;0;0;0
"pensiones";0;1;1;0;0;0;1;0;0;0
"incrementar natalidad";0;0;0;0;1;1;0;0;0;0
"contrato unico indefinido";0;0;0;0;1;0;0;0;0;0
"precariedad";0;1;0;1;0;0;0;0;0;0
"lucha precariedad";0;0;0;0;1;0;0;0;0;0
"IRPF";0;0;0;1;1;0;0;1;0;0
"contratos basura";0;1;0;1;1;0;0;0;0;0
"ofrecer vivienda";0;0;0;0;1;0;1;0;0;0
"subida impuestos";0;1;0;1;0;0;0;0;0;0